FAST 30 jumps
[18:45:27] junt.c:70> t: 1586265327221, x: 2511, y: 41, z: 666
[18:45:27] junt.c:70> t: 1586265327342, x: 259, y: 273, z: 162
[18:45:27] junt.c:70> t: 1586265327463, x: -2, y: -190, z: -138
[18:45:27] junt.c:70> t: 1586265327585, x: 2736, y: 93, z: 56
[18:45:28] junt.c:70> t: 1586265327702, x: -108, y: -243, z: -94
[18:45:28] junt.c:70> t: 1586265327823, x: 2362, y: -1272, z: 25
[18:45:28] junt.c:70> t: 1586265327944, x: 267, y: 166, z: -21
[18:45:28] junt.c:70> t: 1586265328065, x: 5, y: 224, z: 89
[18:45:28] junt.c:70> t: 1586265328186, x: 2279, y: 252, z: 558
[18:45:28] junt.c:70> t: 1586265328307, x: 95, y: -58, z: 276
[18:45:28] junt.c:70> t: 1586265328428, x: 211, y: 1276, z: 117
[18:45:28] junt.c:70> t: 1586265328549, x: 2913, y: -169, z: -302
[18:45:29] junt.c:70> t: 1586265328670, x: -10, y: -361, z: 91
[18:45:29] junt.c:70> t: 1586265328791, x: 2242, y: -510, z: -355
[18:45:29] junt.c:70> t: 1586265328909, x: 801, y: -117, z: 327
[18:45:29] junt.c:70> t: 1586265329030, x: 227, y: 519, z: 254
[18:45:29] junt.c:70> t: 1586265329151, x: 2421, y: 142, z: 799
[18:45:29] junt.c:70> t: 1586265329272, x: 312, y: 953, z: 416
[18:45:29] junt.c:70> t: 1586265329392, x: 114, y: 747, z: 140
[18:45:29] junt.c:70> t: 1586265329514, x: 2774, y: 279, z: 253
[18:45:30] junt.c:70> t: 1586265329634, x: -204, y: -347, z: 92
[18:45:30] junt.c:70> t: 1586265329756, x: 23, y: 24, z: -161
[18:45:30] junt.c:70> t: 1586265329878, x: 2609, y: 104, z: 43
[18:45:30] junt.c:70> t: 1586265329998, x: 317, y: 728, z: 71
[18:45:30] junt.c:70> t: 1586265330116, x: 418, y: -1695, z: -88
[18:45:30] junt.c:70> t: 1586265330237, x: 2889, y: -174, z: -148
[18:45:30] junt.c:70> t: 1586265330358, x: -444, y: -819, z: 2
[18:45:31] junt.c:70> t: 1586265330479, x: 1221, y: 387, z: 428
[18:45:31] junt.c:70> t: 1586265330600, x: 1615, y: -534, z: 5
[18:45:31] junt.c:70> t: 1586265330721, x: 57, y: 80, z: 378
[18:45:31] junt.c:70> t: 1586265330842, x: 1781, y: -1659, z: -79
[18:45:31] junt.c:70> t: 1586265330960, x: 499, y: 369, z: 273
[18:45:31] junt.c:70> t: 1586265331081, x: 147, y: 476, z: 408
[18:45:31] junt.c:70> t: 1586265331202, x: 2328, y: 177, z: 433
[18:45:31] junt.c:70> t: 1586265331323, x: 620, y: 355, z: 227
[18:45:32] junt.c:70> t: 1586265331444, x: 240, y: 791, z: 59
[18:45:32] junt.c:70> t: 1586265331565, x: 2674, y: 293, z: 639
[18:45:32] junt.c:70> t: 1586265331686, x: 490, y: 901, z: 128
[18:45:32] junt.c:70> t: 1586265331803, x: 71, y: 210, z: -44
[18:45:32] junt.c:70> t: 1586265331928, x: 1645, y: 62, z: 232
[18:45:32] junt.c:70> t: 1586265332045, x: 1029, y: 122, z: -31
[18:45:32] junt.c:70> t: 1586265332167, x: 682, y: 260, z: 255
[18:45:32] junt.c:70> t: 1586265332288, x: 1215, y: 155, z: 87
[18:45:32] junt.c:70> t: 1586265332409, x: 841, y: 45, z: 187
[18:45:32] junt.c:70> t: 1586265332530, x: 1061, y: 8, z: 89
[18:45:33] junt.c:70> t: 1586265332651, x: 990, y: 208, z: 183
[18:45:33] junt.c:70> t: 1586265332772, x: 993, y: 192, z: -166
[18:45:33] junt.c:70> t: 1586265332893, x: 1024, y: 0, z: 228
[18:45:33] junt.c:70> t: 1586265333014, x: 929, y: -232, z: 388
[18:45:33] junt.c:70> t: 1586265333131, x: 981, y: -7, z: 321
[18:45:33] junt.c:70> t: 1586265333253, x: 1001, y: -35, z: 142
[18:45:33] junt.c:70> t: 1586265333374, x: 1005, y: -36, z: 199
[18:45:33] junt.c:70> t: 1586265333495, x: 985, y: 65, z: 179
[18:45:34] junt.c:70> t: 1586265333616, x: 976, y: 20, z: 244
[18:45:34] junt.c:70> t: 1586265333737, x: 979, y: 40, z: 284
[18:45:34] junt.c:70> t: 1586265333858, x: 1055, y: 96, z: 188
[18:45:34] junt.c:70> t: 1586265333979, x: 1066, y: 211, z: 301
[18:45:34] junt.c:70> t: 1586265334096, x: 987, y: 150, z: 60
[18:45:34] junt.c:70> t: 1586265334217, x: 565, y: -147, z: -143
[18:45:34] junt.c:70> t: 1586265334338, x: 1103, y: 64, z: -228
[18:45:34] junt.c:70> t: 1586265334460, x: 1306, y: 105, z: -132
[18:45:35] junt.c:70> t: 1586265334581, x: 1069, y: 497, z: -52
[18:45:35] junt.c:70> t: 1586265334702, x: 1250, y: -1096, z: 183
[18:45:35] junt.c:70> t: 1586265334823, x: 1007, y: -75, z: 160
[18:45:35] junt.c:70> t: 1586265334944, x: 939, y: -166, z: 215
[18:45:35] junt.c:70> t: 1586265335065, x: 950, y: -115, z: 252
[18:45:35] junt.c:70> t: 1586265335182, x: 963, y: -103, z: 265
[18:45:35] junt.c:70> t: 1586265335303, x: 976, y: -18, z: 235
[18:45:35] junt.c:70> t: 1586265335424, x: 966, y: 0, z: 239
[18:45:35] junt.c:70> t: 1586265335545, x: 979, y: -1, z: 235
[18:45:36] junt.c:70> t: 1586265335667, x: 995, y: 21, z: 206
[18:45:36] junt.c:70> t: 1586265335788, x: 990, y: 79, z: 131
[18:45:36] junt.c:70> t: 1586265335909, x: 1007, y: 75, z: 122
[18:45:36] junt.c:70> t: 1586265336030, x: 962, y: 151, z: 212
[18:45:36] junt.c:70> t: 1586265336147, x: 950, y: 57, z: 118
[18:45:36] junt.c:70> t: 1586265336268, x: 956, y: 57, z: -64
[18:45:36] junt.c:70> t: 1586265336389, x: 979, y: 35, z: 9
[18:45:36] junt.c:70> t: 1586265336510, x: 1026, y: -66, z: 66
[18:45:37] junt.c:70> t: 1586265336631, x: 1032, y: -123, z: 13
[18:45:37] junt.c:70> t: 1586265336753, x: 998, y: -141, z: 62
[18:45:37] junt.c:70> t: 1586265336874, x: 957, y: -204, z: 93
[18:45:37] junt.c:70> t: 1586265336991, x: 988, y: -174, z: 74
[18:45:37] junt.c:70> t: 1586265337112, x: 980, y: -204, z: 80
[18:45:37] junt.c:70> t: 1586265337233, x: 986, y: -208, z: 57
[18:45:37] junt.c:70> t: 1586265337354, x: 939, y: -222, z: 71
[18:45:38] junt.c:70> t: 1586265337474, x: 965, y: -203, z: 99
[18:45:38] junt.c:70> t: 1586265337596, x: 972, y: -176, z: 80
[18:45:38] junt.c:70> t: 1586265337717, x: 991, y: -122, z: 69
[18:45:38] junt.c:70> t: 1586265337838, x: 1070, y: -180, z: 98
