20 JUMPS REGULAR
[16:38:33] junt.c:146> t: 1586516912379, x: 387, y: 1294, z: 718
[16:38:33] junt.c:146> t: 1586516912500, x: -51, y: -574, z: -429
[16:38:33] junt.c:146> t: 1586516912618, x: 2230, y: 293, z: 144
[16:38:33] junt.c:146> t: 1586516912739, x: 455, y: 116, z: 904
[16:38:33] junt.c:146> t: 1586516912860, x: -58, y: -167, z: 18
[16:38:33] junt.c:146> t: 1586516912981, x: 2530, y: -557, z: 573
[16:38:33] junt.c:146> t: 1586516913102, x: 1253, y: -36, z: 340
[16:38:33] junt.c:146> t: 1586516913223, x: 114, y: -5, z: -39
[16:38:34] junt.c:146> t: 1586516913344, x: 1058, y: -2350, z: -119
[16:38:34] junt.c:146> t: 1586516913465, x: 2182, y: 361, z: 226
[16:38:34] junt.c:146> t: 1586516913586, x: 217, y: 116, z: 106
[16:38:34] junt.c:146> t: 1586516913708, x: 9, y: 356, z: -57
[16:38:34] junt.c:146> t: 1586516913829, x: 2416, y: 619, z: 240
[16:38:34] junt.c:146> t: 1586516913946, x: 190, y: 707, z: 582
[16:38:34] junt.c:146> t: 1586516914066, x: -30, y: 2, z: 117
[16:38:34] junt.c:146> t: 1586516914188, x: 2033, y: -32, z: 541
[16:38:35] junt.c:146> t: 1586516914309, x: 1226, y: -157, z: 185
[16:38:35] junt.c:146> t: 1586516914430, x: 2, y: -298, z: 29
[16:38:35] junt.c:146> t: 1586516914551, x: 1316, y: -568, z: -55
[16:38:35] junt.c:146> t: 1586516914672, x: 2227, y: 572, z: 9
[16:38:35] junt.c:146> t: 1586516914793, x: 381, y: 441, z: 318
[16:38:35] junt.c:146> t: 1586516914914, x: -67, y: -153, z: -228
[16:38:35] junt.c:146> t: 1586516915036, x: 2211, y: 773, z: 80
[16:38:35] junt.c:146> t: 1586516915153, x: 98, y: 438, z: 441
[16:38:36] junt.c:146> t: 1586516915274, x: -44, y: -232, z: 14
[16:38:36] junt.c:146> t: 1586516915395, x: 2563, y: 164, z: 485
[16:38:36] junt.c:146> t: 1586516915516, x: 1434, y: 8, z: 32
[16:38:36] junt.c:146> t: 1586516915637, x: 59, y: -153, z: 85
[16:38:36] junt.c:146> t: 1586516915758, x: 1110, y: -964, z: 132
[16:38:36] junt.c:146> t: 1586516915879, x: 2327, y: 553, z: -42
[16:38:36] junt.c:146> t: 1586516916000, x: 186, y: 850, z: 640
[16:38:36] junt.c:146> t: 1586516916122, x: -11, y: 0, z: -243
[16:38:37] junt.c:146> t: 1586516916243, x: 2377, y: 651, z: 127
[16:38:37] junt.c:146> t: 1586516916364, x: 424, y: 211, z: 164
[16:38:37] junt.c:146> t: 1586516916485, x: -44, y: -18, z: 159
[16:38:37] junt.c:146> t: 1586516916602, x: 1939, y: -234, z: 659
[16:38:37] junt.c:146> t: 1586516916723, x: 1333, y: -214, z: -194
[16:38:37] junt.c:146> t: 1586516916844, x: 164, y: 5, z: 47
[16:38:37] junt.c:146> t: 1586516916965, x: 710, y: 133, z: 295
[16:38:37] junt.c:146> t: 1586516917085, x: 2405, y: 449, z: -260
[16:38:37] junt.c:146> t: 1586516917208, x: 348, y: 309, z: 400
[16:38:38] junt.c:146> t: 1586516917329, x: -163, y: 1085, z: -369
[16:38:38] junt.c:146> t: 1586516917450, x: 2177, y: 658, z: 246
[16:38:38] junt.c:146> t: 1586516917571, x: 35, y: 812, z: 553
[16:38:38] junt.c:146> t: 1586516917692, x: -104, y: -194, z: 101
[16:38:38] junt.c:146> t: 1586516917809, x: 2313, y: 514, z: 852
[16:38:38] junt.c:146> t: 1586516917930, x: 2177, y: 258, z: 15
[16:38:38] junt.c:146> t: 1586516918051, x: 57, y: -252, z: 138
[16:38:38] junt.c:146> t: 1586516918172, x: 45, y: 466, z: -58
[16:38:39] junt.c:146> t: 1586516918293, x: 1937, y: 624, z: 248
[16:38:39] junt.c:146> t: 1586516918415, x: 718, y: -74, z: 280
[16:38:39] junt.c:146> t: 1586516918536, x: 909, y: 23, z: 212
[16:38:39] junt.c:146> t: 1586516918657, x: 857, y: 130, z: 212
[16:38:39] junt.c:146> t: 1586516918778, x: 1012, y: -57, z: 111
[16:38:39] junt.c:146> t: 1586516918899, x: 988, y: 54, z: 77
[16:38:39] junt.c:146> t: 1586516919016, x: 986, y: -30, z: 129
[16:38:40] junt.c:146> t: 1586516919137, x: 984, y: -7, z: 119
