[17:34:14] junt.c:77> Done initializing, pushed window: 0x20018c34
[17:34:29] junt.c:66> t: 1586088269493, x: 726, y: 1106, z: 1833
[17:34:29] junt.c:66> t: 1586088269614, x: -21, y: 172, z: 72
[17:34:30] junt.c:66> t: 1586088269735, x: 2115, y: 187, z: 854
[17:34:30] junt.c:66> t: 1586088269856, x: 2662, y: 325, z: 113
[17:34:30] junt.c:66> t: 1586088269977, x: 233, y: 499, z: 972
[17:34:30] junt.c:66> t: 1586088270098, x: -55, y: 276, z: 115
[17:34:30] junt.c:66> t: 1586088270219, x: 2010, y: 326, z: 306
[17:34:30] junt.c:66> t: 1586088270340, x: 2512, y: 132, z: -105
[17:34:30] junt.c:66> t: 1586088270461, x: 74, y: 127, z: -15
[17:34:30] junt.c:66> t: 1586088270583, x: -56, y: 106, z: -127
[17:34:30] junt.c:66> t: 1586088270704, x: 1691, y: 1138, z: -10
[17:34:30] junt.c:66> t: 1586088270821, x: 1660, y: 27, z: -144
[17:34:31] junt.c:66> t: 1586088270942, x: 76, y: 115, z: -36
[17:34:31] junt.c:66> t: 1586088271063, x: -62, y: 1541, z: 636
[17:34:31] junt.c:66> t: 1586088271186, x: 1550, y: 824, z: 266
[17:34:31] junt.c:66> t: 1586088271305, x: 843, y: -97, z: -218
[17:34:31] junt.c:66> t: 1586088271426, x: -68, y: -185, z: -117
[17:34:31] junt.c:66> t: 1586088271547, x: 29, y: 279, z: 1551
[17:34:31] junt.c:66> t: 1586088271668, x: 1348, y: 477, z: 590
[17:34:31] junt.c:66> t: 1586088271790, x: 558, y: -201, z: -253
[17:34:31] junt.c:66> t: 1586088271911, x: -25, y: -430, z: -154
[17:34:32] junt.c:66> t: 1586088272032, x: -86, y: 432, z: 1339
[17:34:32] junt.c:66> t: 1586088272153, x: 1392, y: 393, z: 603
[17:34:32] junt.c:66> t: 1586088272270, x: 658, y: -151, z: -190
[17:34:32] junt.c:66> t: 1586088272391, x: -162, y: -155, z: -40
[17:34:32] junt.c:66> t: 1586088272512, x: 1491, y: 3396, z: 3857
[17:34:32] junt.c:66> t: 1586088272633, x: 1722, y: 215, z: 1015
[17:34:32] junt.c:66> t: 1586088272754, x: 488, y: 69, z: -250
[17:34:32] junt.c:66> t: 1586088272875, x: -105, y: 185, z: -149
[17:34:33] junt.c:66> t: 1586088272997, x: 1290, y: -3585, z: -1928
[17:34:33] junt.c:66> t: 1586088273118, x: 1020, y: 86, z: 1133
[17:34:33] junt.c:66> t: 1586088273239, x: 475, y: 141, z: -257
[17:34:33] junt.c:66> t: 1586088273360, x: -33, y: -7, z: -261
[17:34:33] junt.c:66> t: 1586088273481, x: 2128, y: 823, z: 887
[17:34:33] junt.c:66> t: 1586088273602, x: 2248, y: 250, z: 390
[17:34:33] junt.c:66> t: 1586088273719, x: 1022, y: 206, z: 315
[17:34:33] junt.c:66> t: 1586088273840, x: 575, y: 1, z: 414
[17:34:34] junt.c:66> t: 1586088273961, x: 1169, y: -40, z: 215
[17:34:34] junt.c:66> t: 1586088274083, x: 990, y: -30, z: 205
[17:34:34] junt.c:66> t: 1586088274204, x: 814, y: -8, z: 333
[17:34:34] junt.c:66> t: 1586088274325, x: 1083, y: -3, z: 203
[17:34:34] junt.c:66> t: 1586088274446, x: 937, y: -50, z: 214
[17:34:34] junt.c:66> t: 1586088274567, x: 960, y: -67, z: 224
[17:34:34] junt.c:66> t: 1586088274688, x: 999, y: -91, z: 193
[17:34:34] junt.c:66> t: 1586088274809, x: 980, y: -108, z: 177
[17:34:35] junt.c:66> t: 1586088274930, x: 971, y: -114, z: 175
[17:34:35] junt.c:66> t: 1586088275047, x: 969, y: -147, z: 170
[17:34:35] junt.c:66> t: 1586088275168, x: 969, y: -147, z: 163
[17:34:35] junt.c:66> t: 1586088275290, x: 972, y: -164, z: 158
[17:34:35] junt.c:66> t: 1586088275411, x: 954, y: -177, z: 165
[17:34:35] junt.c:66> t: 1586088275532, x: 969, y: -192, z: 170
[17:34:36] junt.c:66> t: 1586088275653, x: 943, y: -257, z: 184
[17:34:36] junt.c:66> t: 1586088275773, x: 948, y: -238, z: 186
[17:34:36] junt.c:66> t: 1586088275895, x: 948, y: -233, z: 190
[17:34:36] junt.c:66> t: 1586088276016, x: 952, y: -239, z: 206
[17:34:36] junt.c:66> t: 1586088276137, x: 963, y: -243, z: 215
[17:34:36] junt.c:66> t: 1586088276258, x: 959, y: -248, z: 172
[17:34:36] junt.c:66> t: 1586088276375, x: 986, y: -99, z: 342
[17:34:36] junt.c:66> t: 1586088276497, x: 870, y: -177, z: 282
[17:34:36] junt.c:66> t: 1586088276618, x: 865, y: -235, z: 129
[17:34:36] junt.c:66> t: 1586088276739, x: 1554, y: 54, z: -96
[17:34:37] junt.c:66> t: 1586088276859, x: 984, y: -276, z: 79
[17:34:37] junt.c:66> t: 1586088276981, x: 965, y: -250, z: 77
[17:34:37] junt.c:66> t: 1586088277102, x: 986, y: -176, z: 83
[17:34:37] junt.c:66> t: 1586088277223, x: 963, y: -217, z: 131
[17:34:37] junt.c:66> t: 1586088277344, x: 980, y: -172, z: 117
[17:34:37] junt.c:66> t: 1586088277465, x: 985, y: -244, z: 105
[17:34:37] junt.c:66> t: 1586088277583, x: 1080, y: -310, z: 47
[17:34:37] junt.c:66> t: 1586088277704, x: 977, y: -307, z: 132
