THE DATA IS FAULTY, THE PEBBLE STOPPED LOGGING FOR SOME MS, HENCE THE RECORDED COUNT OF READING IS AROUND 10
[18:37:34] junt.c:70> t: 1586264842909, x: 1354, y: -61, z: -127
[18:37:34] junt.c:70> t: 1586264843030, x: -13, y: -179, z: 6
[18:37:34] junt.c:70> t: 1586264843149, x: 1119, y: -1529, z: 568
[18:37:36] junt.c:70> t: 1586264843268, x: 1541, y: 605, z: 950
[18:37:36] junt.c:70> t: 1586264843389, x: 299, y: 825, z: 484
[18:37:36] junt.c:70> t: 1586264843510, x: 138, y: 304, z: 163
[18:37:36] junt.c:70> t: 1586264843631, x: 2068, y: -38, z: 134
[18:37:36] junt.c:70> t: 1586264843753, x: 2356, y: 40, z: -77
[18:37:36] junt.c:70> t: 1586264843874, x: 298, y: 468, z: 221
[18:37:36] junt.c:70> t: 1586264843995, x: -28, y: 706, z: 299
[18:37:36] junt.c:70> t: 1586264844116, x: 2354, y: 465, z: 319
[18:37:39] junt.c:70> t: 1586264852241, x: 992, y: -254, z: 114
[18:37:39] junt.c:70> t: 1586264852362, x: 993, y: 195, z: 106
[18:37:39] junt.c:70> t: 1586264852483, x: 1094, y: 210, z: -10
[18:37:39] junt.c:70> t: 1586264852605, x: 984, y: 135, z: -60
[18:37:39] junt.c:70> t: 1586264852725, x: 881, y: -89, z: -66
[18:37:39] junt.c:70> t: 1586264852842, x: 1178, y: 405, z: 353
[18:37:39] junt.c:70> t: 1586264852963, x: 1012, y: 127, z: 84
[18:37:40] junt.c:70> t: 1586264853085, x: 1101, y: 0, z: 74
[18:37:41] junt.c:70> t: 1586264853207, x: 969, y: -74, z: 236
[18:37:41] junt.c:70> t: 1586264853327, x: 967, y: -72, z: 217
[18:37:41] junt.c:70> t: 1586264853449, x: 980, y: -75, z: 196
[18:37:41] junt.c:70> t: 1586264853570, x: 979, y: -86, z: 202
[18:37:41] junt.c:70> t: 1586264853691, x: 983, y: -89, z: 159
[18:37:41] junt.c:70> t: 1586264853812, x: 991, y: -104, z: 154
[18:37:41] junt.c:70> t: 1586264853933, x: 992, y: -125, z: 99
[18:37:41] junt.c:70> t: 1586264854050, x: 990, y: -180, z: 59
[18:37:41] junt.c:70> t: 1586264854171, x: 1034, y: -330, z: 218
[18:37:41] junt.c:70> t: 1586264854292, x: 1035, y: 284, z: 223
[18:37:43] junt.c:70> t: 1586264854414, x: 985, y: -93, z: -125
[18:37:43] junt.c:70> t: 1586264854535, x: 976, y: -122, z: -369
[18:37:43] junt.c:70> t: 1586264854656, x: 1282, y: 234, z: 189
[18:37:43] junt.c:70> t: 1586264854777, x: 945, y: -177, z: 187
[18:37:43] junt.c:70> t: 1586264854898, x: 893, y: -371, z: 226
[18:37:43] junt.c:70> t: 1586264855019, x: 983, y: -161, z: 76
[18:37:43] junt.c:70> t: 1586264855140, x: 961, y: -260, z: 165
[18:37:43] junt.c:70> t: 1586264855260, x: 1015, y: -198, z: 135
[18:37:43] junt.c:70> t: 1586264855378, x: 990, y: -167, z: 187

