[18:28:11] junt.c:70> t: 1586264290769, x: 1920, y: 758, z: -401
[18:28:11] junt.c:70> t: 1586264290890, x: 655, y: -271, z: 383
[18:28:11] junt.c:70> t: 1586264291011, x: -42, y: 168, z: 156
[18:28:11] junt.c:70> t: 1586264291132, x: 669, y: -2747, z: -155
[18:28:11] junt.c:70> t: 1586264291253, x: 2318, y: 444, z: 161
[18:28:11] junt.c:70> t: 1586264291375, x: 350, y: 1046, z: 269
[18:28:12] junt.c:70> t: 1586264291496, x: 73, y: 256, z: 41
[18:28:12] junt.c:70> t: 1586264291617, x: 2141, y: 550, z: 34
[18:28:12] junt.c:70> t: 1586264291734, x: 1594, y: -375, z: -276
[18:28:12] junt.c:70> t: 1586264291855, x: 70, y: 93, z: 174
[18:28:12] junt.c:70> t: 1586264291976, x: 752, y: -320, z: 84
[18:28:12] junt.c:70> t: 1586264292097, x: 2097, y: 497, z: 545
[18:28:12] junt.c:70> t: 1586264292218, x: -20, y: 224, z: 825
[18:28:12] junt.c:70> t: 1586264292339, x: 62, y: 189, z: 100
[18:28:12] junt.c:70> t: 1586264292460, x: 2402, y: -14, z: 41
[18:28:13] junt.c:70> t: 1586264292582, x: 2426, y: 5, z: -81
[18:28:13] junt.c:70> t: 1586264292703, x: 104, y: 181, z: 201
[18:28:13] junt.c:70> t: 1586264292824, x: 33, y: 299, z: -264
[18:28:13] junt.c:70> t: 1586264292941, x: 1996, y: 711, z: -172
[18:28:13] junt.c:70> t: 1586264293062, x: 1165, y: -168, z: 133
[18:28:13] junt.c:70> t: 1586264293183, x: -1, y: -189, z: -31
[18:28:13] junt.c:70> t: 1586264293304, x: 1582, y: 1919, z: -104
[18:28:13] junt.c:70> t: 1586264293425, x: 1676, y: 835, z: 255
[18:28:14] junt.c:70> t: 1586264293546, x: 246, y: -179, z: 211
[18:28:14] junt.c:70> t: 1586264293668, x: -36, y: 21, z: 106
[18:28:14] junt.c:70> t: 1586264293789, x: 413, y: -1217, z: 563
[18:28:14] junt.c:70> t: 1586264293910, x: 2242, y: 579, z: 136
[18:28:14] junt.c:70> t: 1586264294027, x: 536, y: 1894, z: 862
[18:28:14] junt.c:70> t: 1586264294148, x: 25, y: 133, z: 113
[18:28:14] junt.c:70> t: 1586264294269, x: 2808, y: 499, z: 656
[18:28:14] junt.c:70> t: 1586264294390, x: 1193, y: 543, z: -132
[18:28:14] junt.c:70> t: 1586264294511, x: 589, y: 224, z: 193
[18:28:15] junt.c:70> t: 1586264294632, x: 842, y: 199, z: 186
[18:28:15] junt.c:70> t: 1586264294753, x: 1229, y: 147, z: 112
[18:28:15] junt.c:70> t: 1586264294875, x: 804, y: 167, z: 221
[18:28:15] junt.c:70> t: 1586264294996, x: 1026, y: 12, z: 216
[18:28:15] junt.c:70> t: 1586264295117, x: 964, y: 55, z: 172
[18:28:15] junt.c:70> t: 1586264295238, x: 985, y: 11, z: 191
[18:28:15] junt.c:70> t: 1586264295355, x: 979, y: 16, z: 196
[18:28:15] junt.c:70> t: 1586264295476, x: 988, y: 20, z: 157
[18:28:16] junt.c:70> t: 1586264295597, x: 985, y: 4, z: 173
[18:28:16] junt.c:70> t: 1586264295718, x: 975, y: 13, z: 161
[18:28:16] junt.c:70> t: 1586264295839, x: 983, y: 14, z: 157
[18:28:16] junt.c:70> t: 1586264295960, x: 989, y: -5, z: 145
[18:28:16] junt.c:70> t: 1586264296082, x: 982, y: -32, z: 155
[18:28:16] junt.c:70> t: 1586264296203, x: 981, y: -33, z: 131
[18:28:16] junt.c:70> t: 1586264296324, x: 990, y: -39, z: 122
[18:28:16] junt.c:70> t: 1586264296445, x: 991, y: -38, z: 108
[18:28:16] junt.c:70> t: 1586264296566, x: 993, y: -43, z: 98
[18:28:17] junt.c:70> t: 1586264296683, x: 985, y: -26, z: 85
[18:28:17] junt.c:70> t: 1586264296804, x: 989, y: -36, z: 81
[18:28:17] junt.c:70> t: 1586264296925, x: 992, y: -48, z: 88
[18:28:17] junt.c:70> t: 1586264297046, x: 985, y: -38, z: 74
[18:28:17] junt.c:70> t: 1586264297168, x: 997, y: -36, z: 75
[18:28:17] junt.c:70> t: 1586264297289, x: 996, y: -43, z: 72
[18:28:17] junt.c:70> t: 1586264297410, x: 993, y: -41, z: 75
[18:28:17] junt.c:70> t: 1586264297531, x: 996, y: -52, z: 70
[18:28:18] junt.c:70> t: 1586264297648, x: 995, y: -53, z: 65
[18:28:18] junt.c:70> t: 1586264297769, x: 990, y: -61, z: 64
[18:28:18] junt.c:70> t: 1586264297890, x: 994, y: -65, z: 72
[18:28:18] junt.c:70> t: 1586264298011, x: 991, y: -75, z: 69
[18:28:18] junt.c:70> t: 1586264298132, x: 998, y: -84, z: 57
[18:28:18] junt.c:70> t: 1586264298253, x: 1009, y: -71, z: 48
[18:28:19] junt.c:70> t: 1586264298375, x: 1007, y: -66, z: 65
[18:28:19] junt.c:70> t: 1586264298496, x: 1017, y: -19, z: 27
[18:28:19] junt.c:70> t: 1586264298613, x: 1001, y: 258, z: 44
[18:28:19] junt.c:70> t: 1586264298734, x: 1005, y: 180, z: 36
[18:28:19] junt.c:70> t: 1586264298855, x: 1020, y: 23, z: -43
[18:28:19] junt.c:70> t: 1586264298976, x: 998, y: -108, z: -4
[18:28:19] junt.c:70> t: 1586264299097, x: 965, y: -22, z: 95
[18:28:19] junt.c:70> t: 1586264299218, x: 927, y: -28, z: 121
[18:28:19] junt.c:70> t: 1586264299339, x: 997, y: -135, z: -31
[18:28:19] junt.c:70> t: 1586264299460, x: 1048, y: -115, z: -11
[18:28:20] junt.c:70> t: 1586264299582, x: 996, y: -101, z: 40
[18:28:20] junt.c:70> t: 1586264299699, x: 984, y: -85, z: 141
[18:28:20] junt.c:70> t: 1586264299820, x: 985, y: -60, z: 184
[18:28:20] junt.c:70> t: 1586264299941, x: 976, y: -64, z: 185
[18:28:20] junt.c:70> t: 1586264300062, x: 982, y: -83, z: 175
[18:28:20] junt.c:70> t: 1586264300183, x: 963, y: -66, z: 190
[18:28:20] junt.c:70> t: 1586264300303, x: 966, y: -89, z: 217
[18:28:20] junt.c:70> t: 1586264300425, x: 977, y: -64, z: 219
[18:28:21] junt.c:70> t: 1586264300546, x: 985, y: -69, z: 213
[18:28:21] junt.c:70> t: 1586264300668, x: 977, y: -49, z: 197
[18:28:21] junt.c:70> t: 1586264300788, x: 968, y: -80, z: 205
[18:28:21] junt.c:70> t: 1586264300910, x: 981, y: -70, z: 175
[18:28:21] junt.c:70> t: 1586264301030, x: 1033, y: -96, z: 183
[18:28:21] junt.c:70> t: 1586264301148, x: 1050, y: 42, z: 66
[18:28:21] junt.c:70> t: 1586264301269, x: 962, y: -112, z: -287
[18:28:21] junt.c:70> t: 1586264301390, x: 1022, y: -84, z: -31
[18:28:22] junt.c:70> t: 1586264301511, x: 941, y: -36, z: 245
[18:28:22] junt.c:70> t: 1586264301632, x: 971, y: 171, z: 147
[18:28:22] junt.c:70> t: 1586264301753, x: 888, y: -53, z: 53
[18:28:22] junt.c:70> t: 1586264301874, x: 992, y: -45, z: 177
[18:28:22] junt.c:70> t: 1586264301996, x: 1000, y: 18, z: 199
[18:28:22] junt.c:70> t: 1586264302113, x: 957, y: -50, z: 174
[18:28:22] junt.c:70> t: 1586264302234, x: 965, y: -31, z: 200
[18:28:22] junt.c:70> t: 1586264302355, x: 981, y: -40, z: 188
[18:28:23] junt.c:70> t: 1586264302476, x: 970, y: 297, z: 185
[18:28:23] junt.c:70> t: 1586264302597, x: 974, y: -74, z: 566
[18:28:23] junt.c:70> t: 1586264302718, x: 839, y: -213, z: -153
[18:28:23] junt.c:70> t: 1586264302839, x: 1128, y: -19, z: -46
[18:28:23] junt.c:70> t: 1586264302960, x: 992, y: -205, z: -129
[18:28:23] junt.c:70> t: 1586264303082, x: 992, y: -99, z: -52
[18:28:23] junt.c:70> t: 1586264303199, x: 998, y: -84, z: -42
[18:28:23] junt.c:70> t: 1586264303323, x: 1010, y: -63, z: -61
[18:28:23] junt.c:70> t: 1586264303441, x: 1055, y: -138, z: 27
[18:28:24] junt.c:70> t: 1586264303562, x: 1014, y: -165, z: 52
[18:28:24] junt.c:70> t: 1586264303683, x: 764, y: -68, z: 32
[18:28:24] junt.c:70> t: 1586264303804, x: 1011, y: -105, z: 44
[18:28:24] junt.c:70> t: 1586264303925, x: 1133, y: -145, z: 91
[18:28:24] junt.c:70> t: 1586264304046, x: 888, y: -48, z: 96
[18:28:24] junt.c:70> t: 1586264304168, x: 978, y: -92, z: 138
[18:28:24] junt.c:70> t: 1586264304285, x: 1030, y: -90, z: 96
[18:28:24] junt.c:70> t: 1586264304410, x: 998, y: -75, z: 103
[18:28:25] junt.c:70> t: 1586264304527, x: 970, y: -69, z: 114
[18:28:25] junt.c:70> t: 1586264304648, x: 987, y: -71, z: 99
[18:28:25] junt.c:70> t: 1586264304768, x: 1014, y: -76, z: 95
[18:28:25] junt.c:70> t: 1586264304890, x: 974, y: -84, z: 127
[18:28:25] junt.c:70> t: 1586264305011, x: 977, y: -83, z: 115
[18:28:25] junt.c:70> t: 1586264305132, x: 996, y: -76, z: 106
[18:28:25] junt.c:70> t: 1586264305253, x: 992, y: -85, z: 110
[18:28:25] junt.c:70> t: 1586264305375, x: 989, y: -87, z: 118
[18:28:25] junt.c:70> t: 1586264305492, x: 985, y: -80, z: 108

