
[18:42:23] junt.c:70> t: 1586265143218, x: 976, y: -11, z: 215
[18:42:24] junt.c:70> t: 1586265143339, x: 1263, y: -31, z: 344
[18:42:24] junt.c:70> t: 1586265143460, x: 928, y: 230, z: -139
[18:42:24] junt.c:70> t: 1586265143582, x: 792, y: -335, z: -291
[18:42:24] junt.c:70> t: 1586265143703, x: 1229, y: 22, z: -160
[18:42:24] junt.c:70> t: 1586265143824, x: 1096, y: 423, z: -44
[18:42:24] junt.c:70> t: 1586265143941, x: 776, y: -208, z: 83
[18:42:24] junt.c:70> t: 1586265144061, x: 996, y: -171, z: 194
[18:42:24] junt.c:70> t: 1586265144183, x: 983, y: -108, z: 239
[18:42:24] junt.c:70> t: 1586265144304, x: 964, y: -98, z: 220
[18:42:24] junt.c:70> t: 1586265144425, x: 989, y: -26, z: 186
[18:42:25] junt.c:70> t: 1586265144546, x: 1004, y: 13, z: 119
[18:42:25] junt.c:70> t: 1586265144668, x: 1049, y: 102, z: 186
[18:42:25] junt.c:70> t: 1586265144789, x: 924, y: -9, z: 507
[18:42:25] junt.c:70> t: 1586265144910, x: 952, y: 11, z: -24
[18:42:25] junt.c:70> t: 1586265145027, x: 952, y: -441, z: -265
[18:42:25] junt.c:70> t: 1586265145148, x: 961, y: -33, z: 69
[18:42:25] junt.c:70> t: 1586265145269, x: 1024, y: 54, z: -3
[18:42:26] junt.c:70> t: 1586265145390, x: 1007, y: -32, z: 95
[18:42:26] junt.c:70> t: 1586265145511, x: 999, y: -34, z: 67
[18:42:26] junt.c:70> t: 1586265145632, x: 1008, y: -18, z: 118
[18:42:26] junt.c:70> t: 1586265145753, x: 997, y: 11, z: 89
[18:42:26] junt.c:70> t: 1586265145875, x: 1017, y: -40, z: 160
[18:42:26] junt.c:70> t: 1586265145995, x: 1010, y: -1, z: 139
[18:42:26] junt.c:70> t: 1586265146113, x: 895, y: 27, z: 135
[18:42:26] junt.c:70> t: 1586265146234, x: 1077, y: -27, z: 122
[18:42:26] junt.c:70> t: 1586265146355, x: 994, y: -18, z: 140
[18:42:27] junt.c:70> t: 1586265146475, x: 948, y: -9, z: 130
[18:42:27] junt.c:70> t: 1586265146597, x: 963, y: -15, z: 166
[18:42:27] junt.c:70> t: 1586265146718, x: 982, y: 5, z: 133
[18:42:27] junt.c:70> t: 1586265146839, x: 1070, y: -48, z: 145
[18:42:27] junt.c:70> t: 1586265146957, x: 963, y: -4, z: 171
[18:42:27] junt.c:70> t: 1586265147082, x: 998, y: 4, z: 146
[18:42:27] junt.c:70> t: 1586265147199, x: 981, y: 15, z: 115
[18:42:27] junt.c:70> t: 1586265147320, x: 989, y: 0, z: 152
[18:42:27] junt.c:70> t: 1586265147441, x: 980, y: -13, z: 130
